name,sector,is_ai,revenue_mil_y2015,revenue_mil_y2016,revenue_mil_y2017,revenue_mil_y2018,revenue_mil_y2019,revenue_mil_y2020,revenue_mil_y2021,revenue_mil_y2022,revenue_mil_y2023,employees_y2015,employees_y2016,employees_y2017,employees_y2018,employees_y2019,employees_y2020,employees_y2021,employees_y2022,employees_y2023
Fortive,Industrials,Non Ai,6656,6656,6656,6656,7203,7326,7326,7326,7692.3,26000,26000,26000,26000,24000,25000,25000,24750,25000
Fortune Brands Innovations,Materials,Non Ai,7923,7923,7923,7923,7923,7923,7923,7923,8319.15,11200,11200,11200,11200,11200,11200,11200,11200,11200
Fortune Brands Innovations,Household Products,Non Ai,5765,5765,5765,5765,5765,5765,6710.5,7656,8038.8,,,24700,24700,24700,24700,26378,26378,28056
Fox,Media,Non Ai,11389,11389,11389,11389,11389,11389,12149,12909,13554.45,7700,7700,,7700,7700,7700,8350,9150,10600
Franklin Resources,Financials,Non Ai,8491,7949,6618,6392,6392,5775,7100.5,8426,8847.3,9266,9489,9059,9386,,9597,9948.5,9732.33333333333,9800
Freddie Mac,Financials,Non Ai,69367,63491,65665,74676,73598,75125,70511.5,65898,69192.9,4982,5439,5982,6165,6621,6892,7096.5,7287.75,7819
Freeport-McMoRan,Energy,Non Ai,21438,15877,15789,16416,18628,14402,18623.5,22845,23987.25,35000,34500,30000,25200,26800,27500,26100,26375,25600
Frontier Communications,Telecommunications,Non Ai,5576,5576,8896,9128,8611,8107,7259,6411,6731.55,19200,19200,28332,22736,21173,18317,16978.5,17692.5,15640
GameStop,Retailing,Non Ai,9364,9364,8608,9225,8851,6466,6466,6466,6789.3,36000,40600,41750,39500,33000,30000,30000,30750,30000
Gap,Retailing,Non Ai,15797,15797,15516,15855,16580,16383,16526.5,16670,17503.5,141000,141000,135000,135000,135000,129000,113000,113500,95000
General Cable,Industrials,Non Ai,5980,5980,5980,5980,5980,5980,5980,5980,6279,13000,13000,13000,13000,13000,13000,13000,13000,13000
General Dynamics,Aerospace & Defense,Non Ai,30852,31469,31353,30973,36193,39350,38909.5,38469,40392.45,99500,99900,98800,98600,105600,102900,103000,105375,106500
General Electric,Financials,Non Ai,148321,148321,148321,148321,148321,148321,148321,148321,155737.05,305000,305000,305000,305000,305000,305000,305000,305000,305000
General Electric,Industrials,Non Ai,140389,140389,126661,122274,120268,95214,84705,74196,77905.8,333000,333000,295000,313000,283000,205000,186500,208000,172000
General Mills,"Food, Beverages & Tobacco",Non Ai,17910,17630,16563,15620,15740,16865,17496,18127,19033.35,43000,42000,39000,38000,40000,40000,40000,36250,32500
General Motors,Motor Vehicles & Parts,Non Ai,155929,152356,166380,157311,147049,137237,132120.5,127004,133354.2,216000,215000,225000,180000,173000,164000,160500,167750,167000
Genesis Healthcare,Health Care,Non Ai,5619,5619,5733,5733,5733,5733,5733,5733,6019.65,88700,88700,82000,82000,82000,82000,82000,82000,82000
Genuine Parts,Wholesalers,Non Ai,15342,15280,15340,16309,18735,19392,19131.5,18871,19814.55,39000,39600,40000,48000,50000,55000,55000,55250,58000
Genworth Financial,Financials,Non Ai,9565,9249,8369,8295,8430,8681,8281.5,7882,8276.1,,4100,3400,3500,,3100,2800,2700,2500
Gilead Sciences,Health Care,Non Ai,24890,32639,32639,26107,22127,22449,24877,27305,28670.25,7000,8000,9000,10000,11000,11800,13100,14200,17000
Glean,Enterprise Search,Ai,0,0,0,0,12,13.2,14.52,15.97,17.56,0,0,0,0,0,0,0,0,0
Global Partners,Wholesalers,Non Ai,17270,10315,8240,8921,12673,13082,13165,13248,13910.4,1154,1890,1770,2000,2500,3860,3410,3382.5,3585
Global Payments,Business Services,Non Ai,7424,7424,7424,7424,7424,7424,7974,8524,8950.2,24000,24000,24000,24000,24000,24000,24500,24500,25000
Goldman Sachs Group,Financials,Non Ai,40085,39208,37712,42254,52528,53922,59455.5,64989,68238.45,34000,36800,34400,36600,36600,38300,41100,42975,48500
Goodyear Tire & Rubber,Motor Vehicles & Parts,Non Ai,18138,16443,16443,15377,15475,14745,16111.5,17478,18351.9,67000,,66000,64000,64000,63000,67500,68750,74000
Graphic Packaging Holding,Materials,Non Ai,6023,6023,6023,6023,6023,6160,6658,7156,7513.8,18000,18000,18000,18000,18000,18000,21500,21000,24000
Graybar Electric,Wholesalers,Non Ai,5979,6110,6385,6631,7203,7524,8145.5,8767,9205.35,8250,8300,8500,8500,8700,9000,8900,9125,9400
Group 1 Automotive,Retailing,Non Ai,9938,10633,10888,11124,11601,12044,12923,13802,14492.1,11978,12886,13500,14108,14570,15296,14503.5,15212,15491
Guardian Life Ins. Co. of America,Financials,Non Ai,11909,12628,12628,12455,13015,13477,14062.5,14648,15380.4,5000,8000,8876,9283,,9032,9091,8360.66666666667,8025
GXO Logistics,Transportation,Non Ai,7940,7940,7940,7940,7940,7940,7940,7940,8337,97500,97500,97500,97500,,97500,97500,107166.666666667,112000
H.J. Heinz,"Food, Beverages & Tobacco",Non Ai,10922,10922,10922,10922,10922,10922,10922,10922,11468.1,24500,24500,24500,24500,24500,24500,24500,24500,24500
Halliburton,Energy,Non Ai,32870,23633,15887,20620,23995,22408,18851.5,15295,16059.75,80000,65000,50000,55000,60000,55000,47500,51250,45000
Hanesbrands,Apparel,Non Ai,5325,5732,6063,6478,6804,6967,7157.5,7348,7715.4,59500,65300,67800,67200,68000,63000,60500,61750,58000
Harley-Davidson,Transportation,Non Ai,6229,5995,5997,5647,5717,5717,5717,5717,6002.85,6500,6300,6000,5800,5900,5900,5900,5900,5900
