name,sector,is_ai,revenue_mil_y2015,revenue_mil_y2016,revenue_mil_y2017,revenue_mil_y2018,revenue_mil_y2019,revenue_mil_y2020,revenue_mil_y2021,revenue_mil_y2022,revenue_mil_y2023,employees_y2015,employees_y2016,employees_y2017,employees_y2018,employees_y2019,employees_y2020,employees_y2021,employees_y2022,employees_y2023
Kyndryl Holdings,Technology,Ai,18317,18317,18317,18317,18317,18317,18317,18317,18317,90000,90000,91800,94462,96351,97796,98578,99662,100160
L Brands,Retailing,Non Ai,11454,12154,12574,12632,13237,13237,13237,13237,13898.85,,55400,59100,59200,57200,57200,57200,57200,57200
L-3 Communications,Aerospace & Defense,Non Ai,12124,11554,11554,11554,11554,11554,11554,11554,12131.7,45000,38000,38000,38000,38000,38000,38000,38000,38000
L3 Technologies,Aerospace & Defense,Non Ai,10597,10597,10597,11002,10841,10841,10841,10841,11383.05,38000,38000,38000,38000,31000,31000,31000,31000,31000
L3Harris Technologies,Aerospace & Defense,Non Ai,6182,6182,6182,6182,6182,12856,15335,17814,18704.7,17500,17500,17500,,17500,50000,48500,39875,46000
Laboratory Corp. of America,Health Care,Non Ai,8680,8680,9642,10441,11333,11555,13838,16121,16927.05,36000,50000,52000,60000,61000,65000,68362.5,69100,75200
Lam Research,Technology,Ai,5259,5942.89,6763.55,7720.99,8815.21,10046.2,11961.08,14354.68,17227,7300,7300,7446,7661,7814,7931,7994,8081,8121
Land O'Lakes,"Food, Beverages & Tobacco",Non Ai,15199,13161,13233,13740,14936,13888,14902,15916,16711.8,10000,10000,10000,10000,10000,8000,8500,9000,9000
Landstar System,Transportation,Non Ai,6540,6540,6540,6540,6540,6540,6540,6540,6867,1399,1399,1399,1399,1399,1399,1399,1424,1449
LangChain,AI Software/Tools,Ai,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0
Lansing Trade Group,Wholesalers,Non Ai,6614,5565,5565,5565,5565,5565,5565,5565,5843.25,300,500,500,500,500,500,500,500,500
Las Vegas Sands,"Hotels, Restaurants & Leisure",Non Ai,14584,11689,11410,12882,13729,13739,13739,13739,14425.95,48500,46500,49000,50500,51500,50000,50000,50375,50000
Lear,Motor Vehicles & Parts,Non Ai,17727,18211,18558,20467,21149,19810,19536.5,19263,20226.15,125200,136200,148400,165000,169000,164100,162100,167625,168700
Leidos Holdings,Technology,Ai,7043,7463.17,7967.38,8555.62,9227.89,9984.2,11160.68,12631.28,14396,32000,32000,32640,33586,34257,34770,35048,35433,35610
Lennar,Engineering & Construction,Non Ai,7780,9474,10950,12646,20572,22260,24695.5,27131,28487.55,6825,7749,8335,9111,11626,10106,10429.5,11439,12012
Leonardo.AI,Generative Media,Ai,0,0,0,0,0,0,0,2.07,2.27,0,0,0,0,0,0,0,0,0
Leucadia National,"Food, Beverages & Tobacco",Non Ai,12407,11684,11684,11684,11684,11684,11684,11684,12268.2,13082,13300,13300,13300,13300,13300,13300,13300,13300
Leucadia National,Financials,Non Ai,10875,10875,10875,10875,10875,10875,10875,10875,11418.75,13000,13000,13000,,,13000,13000,13000,13000
Level 3 Communications,Telecommunications,Non Ai,6777,8229,8229,8172,8172,8172,8172,8172,8580.6,13500,12500,12600,12600,,12600,12600,12600,12600
Levi Strauss,Apparel,Non Ai,5575,5575,5575,5575,5575,5763,5763,5763,6051.15,15100,15100,15100,15100,15100,15800,15800,15625,15800
Liberty Interactive,Technology,Ai,11382,11447.04,11525.09,11616.14,11720.21,11837.28,12019.39,12247.03,12520.2,20078,22080,22521,23174,23637,23991,24182,24448,24570
Liberty Interactive,Retailing,Ai,10647,10647,10647,10647,10647,10647,10647,10647,10647,21080,21080,21501,22124,22566,22904,23087,23340,23456
Liberty Media,Media,Non Ai,5276,5276,5276,7594,7594,10292,9827.5,9363,9831.15,3626,3626,3626,4393,4641,6753,6753,6490,7283
Liberty Mutual Insurance Group,Financials,Non Ai,39450,39450,39450,42687,42685,43228,45714,48200,50610,50000,50000,50000,50000,50000,45000,45000,48750,50000
LifePoint Health,Health Care,Non Ai,5301,6014,7274,7263,7263,7263,7263,7263,7626.15,38000,40000,47000,42000,42000,42000,42000,42000,42000
Lincoln National,Financials,Non Ai,13554,13572,13330,14257,14257,17258,18244,19230,20191.5,9627,9312,9057,9047,11034,11357,11102.5,11255.75,11316
Lithia Motors,Retailing,Non Ai,5403,7864,8678,10087,11821,12673,17752.5,22832,23973.6,8827,9574,11170,12899,13643,14320,17735,17928.25,21875
Live Nation Entertainment,Media,Non Ai,6867,7246,8355,10337,10788,11548,11548,11548,12125.4,10950,12200,11500,15050,16000,18200,18200,18825,20550
LKQ,Wholesalers,Non Ai,6740,7193,9082,9082,11877,12506,12797.5,13089,13743.45,29500,31100,42500,43000,51000,51000,48500,48000,45000
Lockheed Martin,Aerospace & Defense,Non Ai,45600,46132,46132,51048,53762,59812,63428,67044,70396.2,112000,126000,97000,100000,105000,110000,112000,111750,116000
Loews,Financials,Non Ai,14572,13415,13105,13735,14066,14931,14794,14657,15389.85,17510,16700,15800,18100,17900,18605,14472.5,15151.25,12050
Lowe's,Retailing,Non Ai,56223,59074,65017,68619,71309,72148,84199,96250,101062.5,220500,225000,240000,255000,245000,260000,265000,248500,244500
LPL Financial Holdings,Financials,Non Ai,5872,5872,5872,5872,5872,5872,6796.5,7721,8107.05,4756,4756,4756,4756,4756,4756,5337.5,5585.5,6415
Lululemon athletica,Retailing,Non Ai,8111,8111,8111,8111,8111,8111,8111,8111,8516.55,34000,34000,34000,34000,34000,34000,34000,34000,34000
Lumen Technologies,Telecommunications,Non Ai,22401,22401,22401,22401,22401,22401,21044,19687,20671.35,42500,42500,42500,42500,42500,42500,39250,35750,29000
M&T Bank,Financials,Non Ai,6941,6941,6941,6941,6941,6941,6611,6281,6595.05,17386,17386,17386,17386,17386,17386,17216,19947.5,22509
M&T Bank Corp.,Financials,Non Ai,5722,5722,5722,6019,6455,6455,6455,6455,6777.75,16487,16487,16487,16354,16840,16840,16840,16840,16840
Macy's,Retailing,Non Ai,28105,27079,25778,24837,25739,25331,25311.5,25292,26556.6,166900,157500,148300,130000,130000,123000,105928.5,110535,94570
Magellan Health,Health Care,Non Ai,5839,5839,5839,5839,7314,7159,7330.5,7502,7877.1,10700,10700,10700,10700,,10100,9550,9366.66666666667,9000
Mahwah Bergen Retail Group,Retailing,Non Ai,6243,6243,6243,6243,6243,6243,6243,6243,6555.15,33000,33000,33000,33000,33000,33000,33000,33000,33000
ManpowerGroup,Business Services,Non Ai,20763,19330,19654,21034,21991,20864,20794,20724,21760.2,26000,27000,28000,29000,30000,28000,29000,29950,30900
Marathon Oil,Energy,Non Ai,13297,13297,5861,5861,6582,6582,6582,6582,6911.1,3330,2611,2611,2611,2400,2400,2400,1985,1570
Marathon Petroleum,Energy,Non Ai,91417,64566,55858,67610,67610,124813,132922.5,141032,148083.6,,45440,44460,43800,60350,60910,39305,39215,17800
Markel,Financials,Non Ai,5370,5370,5612,6062,6841,9526,11186,12846,13488.3,10600,10600,10900,15600,17400,18600,19450,19450,20900
Marriott International,"Hotels, Restaurants & Leisure",Non Ai,13796,14486,17072,22894,20758,20972,17414.5,13857,14549.85,123500,127500,226500,177000,176000,174000,147000,157500,140000
Marsh & McLennan,Financials,Non Ai,13211,13211,13211,14024,14950,16652,18236,19820,20811,57000,60000,60000,64000,66000,76000,79500,78000,85000
Masco,Household Products,Non Ai,8521,7904,7357,7644,8359,8235,8305,8375,8793.75,32000,25000,26000,26000,26000,22000,21000,21500,19000
Massachusetts Mutual Life Insurance,Financials,Non Ai,33572,38243,37788,37788,37788,37253,36576.5,35900,37695,11418,11593,11737,11811,9844,9896,9974,10266,10662
MasTec,Engineering & Construction,Non Ai,6607,6607,6607,6607,6909,7183,7567.5,7952,8349.6,17300,17300,17300,17300,19000,21000,21000,26000,32000
Mastercard,Business Services,Non Ai,10776,10776,10776,12497,14950,16883,17883.5,18884,19828.2,11900,11900,11900,13400,14800,18600,21300,23300,29900
MasterCard,Business Services,Non Ai,9473,9667,9667,9667,9667,9667,9667,9667,10150.35,10300,11300,11300,11300,11300,11300,11300,11300,11300
Mattel,Household Products,Non Ai,6024,5703,5457,5457,5457,5457,5457,5457,5729.85,31000,31000,32000,32000,32000,32000,32000,32000,32000
McCormick,"Food, Beverages & Tobacco",Non Ai,5601,5601,5601,5601,5601,5601,5601,5601,5881.05,13000,13000,13000,13000,13000,13000,13000,13000,13000
McDonald's,"Hotels, Restaurants & Leisure",Non Ai,27441,25413,24622,22820,21025,21077,22150,23223,24384.15,420000,,375000,235000,210000,205000,202500,178750,150000
McGraw Hill Financial,Business Services,Non Ai,5190,5190,5190,5190,5190,5190,5190,5190,5449.5,17000,17000,17000,17000,17000,17000,17000,17000,17000
McKesson,Health Care,Non Ai,181241,181241,181241,181241,208357,214319,222685,231051,242603.55,70400,70400,70400,,68000,70000,68750,67750,66500
McKesson,Wholesalers,Non Ai,138030,138030,192487,198533,198533,198533,198533,198533,208459.65,42800,42800,68000,64500,64500,64500,64500,64500,64500
MDU Resources Group,Energy,Non Ai,5533,5533,5533,5533,5533,5533,5533,5533,5809.65,12994,12994,12994,12994,12994,12994,12994,12994,12994
MeadWestvaco,Materials,Non Ai,5631,5631,5631,5631,5631,5631,5631,5631,5912.55,15000,15000,15000,15000,15000,15000,15000,15000,15000
Merck,Health Care,Non Ai,42237,39498,39807,40122,42294,46840,49028,51216,53776.8,70000,68000,68000,69000,69000,71000,69250,69000,68000
Meta Platforms,Technology,Ai,70697,73320.54,76468.79,80141.75,84339.42,89061.8,96407.72,105590.12,116609,44942,44942,45840,47169,48112,48833,49223,49764,50012
MetLife,Financials,Non Ai,73316,69951,63476,63476,67941,69620,70350,71080,74634,68000,69000,58000,49000,48000,49000,46000,46750,45000
MGM Resorts International,"Hotels, Restaurants & Leisure",Non Ai,10082,9190,9455,10774,11763,12900,11290,9680,10164,60100,,66500,,74500,72000,66250,69625,66000
Michaels Cos.,Retailing,Non Ai,5197,5197,5197,5197,5197,5197,5197,5197,5456.85,31000,31000,31000,31000,31000,31000,31000,31000,31000
Micron Technology,Technology,Ai,16358,17180.86,18168.29,19320.29,20636.86,22118,24422,27302,30758,30400,31800,32436,33376,34043,34553,34829,35212,35388
Microsoft,Technology,Ai,86833,93200.83,100842.22,109757.18,119945.71,131407.8,149237.72,171525.12,198270,128000,118000,120360,123850,126327,128221,129246,130667,131320
Mistral AI,AI Foundation Models,Ai,0,0,0,0,0,0,0,0,52.8,0,0,0,0,0,0,0,0,0
Moderna,Health Care,Non Ai,18471,18471,18471,18471,18471,18471,18471,18471,19394.55,2700,2700,2700,2700,2700,2700,2700,3300,3900
Mohawk Industries,Household Products,Non Ai,7803,8072,8959,9491,9984,9971,10586,11201,11761.05,32300,34100,37800,38800,42100,41800,42400,41425,40900
Molina Healthcare,Health Care,Non Ai,9667,14178,14178,19883,18890,16829,22300,27771,29159.55,,21000,21000,20000,11000,10000,12000,12750,15000
Molson Coors Beverage,"Food, Beverages & Tobacco",Non Ai,10579,10579,10579,10579,10579,10579,10429.5,10280,10794,17700,17700,17700,17700,17700,17700,17000,17150,16600
Molson Coors Brewing,"Food, Beverages & Tobacco",Non Ai,11003,11003,11003,11003,10770,10770,10770,10770,11308.5,17200,17200,17200,17200,17750,17750,17750,17750,17750
Mondelez International,"Food, Beverages & Tobacco",Non Ai,34244,29636,25923,25896,25938,25868,27294,28720,30156,104000,99000,90000,83000,80000,80000,79500,85500,91000
Monsanto,Chemicals,Non Ai,15855,15001,13502,14640,14640,14640,14640,14640,15372,24700,24000,22450,21900,21900,21900,21900,21900,21900
Morgan Stanley,Financials,Non Ai,37953,37897,37949,43642,50193,53823,57472,61121,64177.05,55802,56218,55311,57633,60348,60431,60431,71408.25,82427
Mosaic,Chemicals,Non Ai,9056,8895,7163,7409,9587,8906,8794,8682,9116.1,9100,8900,8700,8500,13600,12600,12600,13335,13570
Motorola Solutions,Technology,Ai,7785,7860.83,7951.82,8057.98,8179.31,8315.8,8528.12,8793.52,9112,15000,14000,14280,14694,14987,15211,15332,15500,15577
MRC Global,Energy,Non Ai,5933,5933,5933,5933,5933,5933,5933,5933,6229.65,4900,4900,4900,4900,4900,4900,4900,4900,4900
Murphy Oil,Energy,Non Ai,8263,8263,8263,8263,8263,8263,8263,8263,8676.15,1712,1712,1712,1712,1712,1712,1712,1712,1712
Murphy USA,Retailing,Non Ai,15279,15279,9633,10853,12524,12101,13710,15319,16084.95,5725,7100,6600,6900,6800,7250,8840,8787.5,10550
Mutual of Omaha,Financials,Non Ai,12531,12531,12531,12531,12531,12531,12531,12531,13157.55,6350,6350,6350,6350,6350,6350,6350,6350,6350
Mutual of Omaha Insurance,Financials,Non Ai,6878,7236,7899,8732,9347,10456,10957.5,11459,12031.95,5276,5488,5732,5896,6314,6072,5905.5,5966,5739
National Oilwell Varco,Energy,Non Ai,23141,14757,7251,7304,8453,8453,8453,8453,8875.65,59091,47262,36384,31605,34642,34642,34642,34642,34642
Nationwide,Financials,Non Ai,36257,40222,40074,43940,43270,43982,45679,47376,49744.8,,34032,34320,33135,30472,28114,26124,27042,24791
Navient,Financials,Non Ai,5637,5197,5197,5197,5610,5610,5610,5610,5890.5,6200,7300,7300,7300,6500,6500,6500,6500,6500
Navistar International,Motor Vehicles & Parts,Non Ai,10806,10140,10140,10140,10140,10140,10140,10140,10647,14800,13800,13800,13800,13800,13800,13800,13800,13800
Navistar International,Industrials,Non Ai,8111,8111,8111,8570,10250,11251,11877,12503,13128.15,,11300,11300,,13100,12300,12200,12400,12100
NCR,Technology,Ai,6373,6457.06,6557.93,6675.61,6810.1,6961.4,7196.76,7490.96,7844,30200,30200,30804,31697,32330,32814,33076,33439,33606
NetApp,Technology,Ai,6325,6361.14,6404.51,6455.11,6512.94,6578,6679.2,6805.7,6957.5,12490,12810,13066,13444,13712,13917,14028,14182,14252
Netflix,Media,Ai,15794,16698.11,17783.05,19048.81,20495.39,22122.8,24654.32,27818.72,31616,7100,7100,7242,7452,7601,7715,7776,7861,7900
Netflix,Technology,Ai,8831,8994.54,9190.79,9419.75,9681.42,9975.8,10433.72,11006.12,11693,3850,3850,3927,4040,4120,4181,4214,4260,4281
Netflix,Retailing,Ai,5505,5577.86,5665.29,5767.29,5883.86,6015,6219,6474,6780,2320,3700,3774,3883,3960,4019,4051,4095,4115
New York Life Insurance,Financials,Non Ai,38680,45891,40787,42296,42296,44117,47658,51199,53758.95,11563,11463,11320,11114,11388,11519,12931.5,13251.75,15050
Newell Brands,Household Products,Non Ai,5810,5972,13264,14742,13033,10083,10336,10589,11118.45,17400,17200,,49000,37000,30000,30000,30750,28000
Newmont,Energy,Non Ai,9740,9740,9740,9740,9740,9740,10981,12222,12833.1,16600,16600,16600,16600,16600,16600,15500,15600,14600
Newmont Goldcorp,Energy,Non Ai,7253,7253,7253,7253,7253,7253,7253,7253,7615.65,12442,12442,12442,12442,12442,12442,12442,12442,12442
Newmont Mining,Energy,Non Ai,7292,7729,8379,7348,7348,7348,7348,7348,7715.4,13720,,12438,12569,12569,12569,12569,12569,12569
News Corp.,Media,Non Ai,8574,8633,8319,8139,9024,10074,9716,9358,9825.9,22000,25000,24000,26000,28000,28000,26000,26750,25500
NextEra Energy,Energy,Non Ai,17021,17486,16155,17195,16727,19204,18136.5,17069,17922.45,13800,14300,,14000,14300,14800,14900,14925,15300
NGL Energy Partners,Energy,Non Ai,11742,11742,11742,13022,17283,24088,21929.5,19771,20759.55,3200,3200,3200,2700,2400,1300,1350,1346,842
NGL Energy Partners,Wholesalers,Non Ai,9699,16802,16802,16802,16802,16802,16802,16802,17642.1,,3100,3100,3100,,3100,3100,3100,3100
Nike,Apparel,Non Ai,27799,30601,32376,34350,36397,39117,41827.5,44538,46764.9,56500,62600,70700,74400,73100,76700,75000,77000,79100
NiSource,Energy,Non Ai,6471,6471,5308,5308,5308,5308,5308,5308,5573.4,8982,7596,7596,7596,7596,7596,7596,7596,7596
Nordstrom,Retailing,Non Ai,13506,14437,14757,15478,15860,15524,15524,15524,16300.2,67000,72500,72500,76000,74000,75000,73500,67250,60000
Norfolk Southern,Transportation,Non Ai,11624,10511,9888,10551,11458,11296,11219,11142,11699.1,29482,30456,27856,27110,26662,24587,21343.5,22462.25,19300
Northern Trust,Financials,Non Ai,5716,5716,5716,5716,6659,6895,6691.5,6488,6812.4,18100,18100,18100,18100,18800,19800,20450,21450,23600
Northrop Grumman,Aerospace & Defense,Non Ai,23979,23526,24508,25803,30095,33841,34754,35667,37450.35,64300,65000,67000,70000,85000,90000,89000,91250,95000
Northwestern Mutual,Financials,Non Ai,27465,28111,28799,29331,29124,32294,34522.5,36751,38588.55,5187,5530,5646,5437,5870,5964,6774.5,7120,8323
Notion,Productivity Software,Ai,5.5,5.86,6.29,6.79,7.37,8.01,9.02,10.27,11.78,220,242,246,253,258,261,263,265,266
NOV,Energy,Non Ai,8479,8479,8479,8479,8479,8479,7284.5,6090,6394.5,,34645,34645,34645,34645,34645,31138,31138,27631
NRG Energy,Energy,Non Ai,15868,14674,14674,11275,10797,9871,18430,26989,28338.45,9806,10468,8763,5940,4862,4577,5606,5661.25,6603
Nucor,Materials,Non Ai,21105,16439,16208,20252,25067,22589,29536.5,36484,38308.2,23600,23700,23900,25100,26300,26800,27800,28975,31400
Nvidia,Technology,Ai,6910,8056.51,9432.33,11037.45,12871.87,14935.6,18145.84,22158.64,26974,10299,10299,10504,10808,11024,11189,11278,11402,11459
NVR,Engineering & Construction,Non Ai,5170,5170,5835,6322,6322,7428,8199,8970,9418.5,4300,4300,4900,5200,5600,5700,6150,6100,6550
O-I Glass,Materials,Non Ai,6691,6691,6691,6691,6691,6691,6391,6091,6395.55,,27500,27500,27500,27500,27500,26250,26250,25000
O'Reilly Automotive,Retailing,Non Ai,7216,7967,8593,8978,9536,10150,11739,13328,13994.4,50853,54911,58397,60365,64325,67663,71910.5,72836.5,79679
Occidental Petroleum,Energy,Non Ai,25898,12699,12699,13274,18934,21971,24371.5,26772,28110.6,11700,11100,11000,11000,11000,14400,13039,12336.5,11973
ODP,Retailing,Non Ai,10647,10647,10647,10647,10647,10647,9957,9267,9730.35,40000,40000,40000,40000,40000,40000,33000,32500,25000
Office Depot,Retailing,Non Ai,16096,14485,13585,10752,11130,11130,11130,11130,11686.5,56000,,38000,45000,44000,44000,44000,44000,44000
Old Republic International,Financials,Non Ai,5531,5766,5901,6263,6022,7214,8278,9342,9809.1,8000,8200,8500,8700,9000,9000,9300,9250,9500
Olin,Chemicals,Non Ai,5551,5551,5551,6268,6946,6110,7510.5,8911,9356.55,6400,6400,6400,6400,6500,6500,7125,7140,7780
Omnicare,Health Care,Non Ai,6551,6551,6551,6551,6551,6551,6551,6551,6878.55,12089,12089,12089,12089,12089,12089,12089,12089,12089
Omnicom Group,Business Services,Non Ai,15318,15134,15417,15274,15290,14954,14621.5,14289,15003.45,74000,74900,78500,77300,70400,70000,70850,72200,74200
ON Semiconductor,Technology,Non Ai,5543,5543,5543,5543,5543,5878,6309,6740,7077,34000,34000,34000,,35700,35700,33675,33377.5,31055
Oneok,Energy,Non Ai,12836,7763,8921,12174,12593,10164,13352,16540,17367,2269,2364,2384,2470,2684,2882,2864.5,2874.5,2966
OpenAI,AI Foundation Models,Ai,226,240.77,258.49,279.16,302.79,329.38,370.73,422.41,484.44,9040,9944,10142,10436,10644,10803,10889,11008,11063
Opendoor Technologies,Technology,Ai,8021,8452.2,8969.64,9573.32,10263.24,11039.4,12246.76,13755.96,15567,2816,2816,2872,2955,3014,3059,3083,3116,3131
Oracle,Technology,Ai,38275,38513,38798.6,39131.8,39512.6,39941,40607.4,41440.4,42440,122000,132000,134640,138544,141314,143433,144580,146170,146900
Oshkosh,Industrials,Non Ai,6279,6279,6279,6830,7706,8382,8167.5,7953,8350.65,13800,13800,13800,14000,15000,15400,15200,15100,15000
Oshkosh,Motor Vehicles & Parts,Non Ai,6808,6098,6098,6098,6098,6098,6098,6098,6402.9,12000,13300,13300,13300,13300,13300,13300,13300,13300
Otis Worldwide,Industrials,Non Ai,12756,12756,12756,12756,12756,12756,13527,14298,15012.9,69000,69000,69000,69000,69000,69000,69500,69000,69000
Ovintiv,Energy,Non Ai,6726,6726,6726,6726,6726,6726,7692,8658,9090.9,2571,2571,2571,2571,2571,2571,2142,2157.5,1744
Owens & Minor,Health Care,Non Ai,9773,9773,9773,9773,9773,9650,9717.5,9785,10274.25,8100,8100,8100,8100,17900,15400,16350,19575,22500
Owens & Minor,Wholesalers,Non Ai,9440,9440,9723,9318,9318,9318,9318,9318,9783.9,7800,,7900,8600,8600,8600,8600,8600,8600
Owens Corning,Materials,Non Ai,5276,5350,5677,6384,7057,7160,7829,8498,8922.9,14000,15000,16000,17000,20000,19000,19500,19250,19000
Owens-Illinois,Materials,Non Ai,6156,6156,6702,6869,6877,6877,6877,6877,7220.85,21100,27000,27000,26500,26500,26500,26500,26500,26500
Owkin,Bio/Drug Discovery AI,Ai,0,6.76,7.43,8.17,8.99,9.88,10.87,11.96,13.15,0,270,275,282,287,291,293,296,297
Paccar,Motor Vehicles & Parts,Non Ai,18997,19115,19115,19115,19115,19115,21318.5,23522,24698.1,23300,23000,23000,23000,23000,23000,25750,27050,31100
Paccar,Industrials,Non Ai,17033,17033,17033,19456,23496,25600,22164.5,18729,19665.45,23000,23000,23000,25000,28000,27000,26500,26750,26000
Pacific Life,Financials,Non Ai,7073,8642,9169,9510,10699,11847,12891.5,13936,14632.8,3095,3276,3628,3578,3776,3815,3838,3872.75,3950
Packaging Corp. of America,Materials,Non Ai,5853,5853,5779,6445,7015,6964,6811,6658,6990.9,14000,13000,14000,14600,15000,15500,15500,15175,15100
Pantry,Retailing,Non Ai,6765,6765,6765,6765,6765,6765,6765,6765,7103.25,10591,10591,10591,10591,10591,10591,10591,10591,10591
Par Pacific Holdings,Energy,Non Ai,7322,7322,7322,7322,7322,7322,7322,7322,7688.1,1397,1397,1397,1397,1397,1397,1397,1397,1397
Paramount Global,Media,Non Ai,27812,27812,27812,27812,27812,27812,28695.5,29579,31057.95,26280,26280,26280,26280,26280,26280,25697.5,26840,27400
Parker-Hannifin,Industrials,Non Ai,13216,12712,11361,12029,14302,14320,14334,14348,15065.4,57450,54750,48950,56690,57170,55610,55125,55740,55090
Patterson,Wholesalers,Non Ai,5555,5555,5555,5593,5593,5593,5593,5593,5872.65,7000,7000,7000,7500,7500,7500,7500,7500,7500
Patterson,Health Care,Non Ai,5490,5490,5490,5490,5490,5490,5490,5490,5764.5,7800,7800,7800,7800,7800,7800,7800,7800,7800
PayPal Holdings,Business Services,Non Ai,9248,9248,10842,13094,15451,17772,21571.5,25371,26639.55,16800,16800,18100,18700,21800,23200,27050,26200,29900
PBF Energy,Energy,Non Ai,19828,13124,15920,21787,27186,24508,25880.5,27253,28615.65,1714,2270,3165,,3266,3442,3430,3485,3616
Peabody Energy,Energy,Non Ai,6792,5609,5609,5579,5582,5582,5582,5582,5861.1,8300,7600,7600,,7400,7400,7400,7400,7400
Penske Automotive Group,Retailing,Non Ai,17439,19361,20143,21389,22785,23179,24367,25555,26832.75,22100,23000,24000,26000,27000,26980,25888.5,26903,26816
PepsiCo,"Food, Beverages & Tobacco",Non Ai,66683,63056,62799,63525,64661,67161,73317.5,79474,83447.7,271000,263000,264000,263000,267000,267000,288000,291000,315000
Performance Food Group,Wholesalers,Non Ai,15270,15270,16105,16762,17620,19744,25071.5,30399,31918.95,12000,12000,13000,14000,15000,18000,20442.5,25662.5,34825
Perplexity,Consumer AI,Ai,0,0,0,0,0,0,0,6.8,7.48,0,0,0,0,0,0,0,0,0
Peter Kiewit Sons',Engineering & Construction,Non Ai,10380,8992,8992,8678,8678,10283,11216,12149,12756.45,25700,22000,20000,22000,20000,23000,25900,23600,25700
Pfizer,Health Care,Non Ai,49605,48851,52824,52546,53647,51750,66519,81288,85352.4,78300,97900,96500,90200,92400,88300,83650,86675,83000
PG&E,Energy,Non Ai,16759,16759,16759,16759,16759,17129,18885.5,20642,21674.1,24000,24000,24000,,,23000,24500,25006.6666666667,26010
PG&E Corp.,Energy,Non Ai,17090,16833,17666,17135,17135,17135,17135,17135,17991.75,22581,23323,,23000,23000,23000,23000,23000,23000
Philip Morris International,"Food, Beverages & Tobacco",Non Ai,29767,26794,26685,28748,29625,29805,30605,31405,32975.25,82500,80200,79500,80600,77400,73500,71550,77625,79800
Phillips 66,Energy,Non Ai,149434,87169,72396,91568,114217,109559,112205.5,114852,120594.6,14000,14000,14800,14600,14200,14500,14250,13675,13000
Photoroom,Generative Media,Ai,0,0,0,0,2.13,2.34,2.57,2.83,3.11,0,0,0,0,0,0,0,0,0
Pika,Generative Media,Ai,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0
Pinecone,AI Software/Tools,Ai,0,0,0,0,4.6,5.06,5.56,6.11,6.72,0,0,0,0,0,0,0,0,0
Pioneer Natural Resources,Energy,Non Ai,5293,5293,5293,5455,9415,9304,11973.5,14643,15375.15,4075,4075,4075,3836,3177,2323,2127.5,2413,2076
Plains GP Holdings,Energy,Non Ai,43464,23152,20182,26223,34055,33669,37873.5,42078,44181.9,5300,5400,5100,4850,4900,5000,4550,4525,4100
PNC Financial Services,Financials,Non Ai,18035,18035,18035,18035,19993,19993,19993,19993,20992.65,51632,51632,51632,,51996,51996,51996,51996,51996
PNC Financial Services Group,Financials,Non Ai,16281,16270,16423,16423,16423,21624,20661,19698,20682.9,51666,50831,50683,50683,50683,50968,54757.5,55772.75,60720
Polaris,Transportation,Non Ai,6863,6863,6863,6863,6863,6863,7557.5,8252,8664.6,14000,14000,14000,14000,14000,14000,15000,15100,16200
Polaris Industries,Transportation,Non Ai,5505,5505,5505,5505,6166,6166,6166,6166,6474.3,11000,11000,11000,11000,12000,12000,12000,12000,12000
Post Holdings,"Food, Beverages & Tobacco",Non Ai,6257,6257,6257,6257,6257,5681,5690,5699,5983.95,11550,11550,11550,11550,11550,10100,10150,10512.5,10200
PPG Industries,Chemicals,Non Ai,15607,15330,15178,14967,15374,15146,15974,16802,17642.1,44400,46600,47000,47200,47300,47600,48450,49725,52000
PPL,Energy,Non Ai,7669,7669,7517,7447,7785,7769,7448,7127,7483.35,17391,12799,12689,12512,12444,12280,8943.5,9444.5,6527
Praxair,Chemicals,Non Ai,12273,10776,10534,11437,11437,11437,11437,11437,12008.85,27780,26657,26498,26461,26461,26461,26461,26461,26461
Precision Castparts,Aerospace & Defense,Non Ai,9640,10056,10056,10056,10056,10056,10056,10056,10558.8,29085,30106,30106,30106,,30106,30106,30106,30106
Priceline Group,Technology,Ai,8442,8573.49,8731.27,8915.35,9125.73,9362.4,9730.56,10190.76,10743,12700,15500,15810,16268,16593,16841,16975,17161,17246
Principal Financial,Financials,Non Ai,10478,10478,12394,14093,14237,16222,15242.5,14263,14976.15,14873,,14854,15378,16475,17601,18100.5,18169,19300
Principal Financial Group,Financials,Non Ai,11964,11964,11964,11964,11964,11964,11964,11964,12562.2,14895,14895,14895,14895,14895,14895,14895,14895,14895
Procter & Gamble,Household Products,Non Ai,84537,78756,71726,66217,66832,67684,69317,70950,74497.5,118000,110000,105000,95000,92000,97000,99000,100250,106000
Progressive,Financials,Non Ai,19391,20854,23441,26839,31979,39022,43362,47702,50087.1,26501,28580,31721,33656,37346,41571,45324,47260.75,55063
Prudential Financial,Financials,Non Ai,54123,57119,58779,59689,62992,64807,67870.5,70934,74480.7,48331,49384,49739,49705,50492,51511,46213.5,45292.25,39583
Public Service Enterprise Group,Energy,Non Ai,10886,10415,9061,9084,9696,10076,9899,9722,10208.1,12689,13025,13065,12945,13145,12992,12838,12796.75,12525
